code_uic,nom,commune,departement,lat,lon,paris_min,paris_gare
87471029,Vern,Vern-Sur-Seiche,ILLE-ET-VILAINE,48.046975,-1.596591,,
87722264,Vernaison,Vernaison,RHONE,45.643752,4.812009,,
87611350,Vernet-d'Ariège,Le Vernet,ARIEGE,43.189346,1.611607,,
87116079,Verneuil-l'Étang,Verneuil-L'Etang,SEINE-ET-MARNE,48.644309,2.825298,,
87393595,Verneuil-sur-Avre,Verneuil D'Avre Et D'Iton,EURE,48.742723,0.929326,,
87297119,Verneuil-sur-Serre,Verneuil-Sur-Serre,AISNE,49.647057,3.666279,,
87592675,Verneuil-sur-Vienne,Verneuil-Sur-Vienne,HAUTE-VIENNE,45.837854,1.11272,,
87415604,Vernon-Giverny,Vernon,EURE,49.091603,1.477749,,
87682468,Vernou-sur-Seine,Vernou-La-Celle-Sur-Seine,SEINE-ET-MARNE,48.386363,2.842611,,
87386656,Vernouillet-Verneuil,Verneuil-Sur-Seine,YVELINES,48.98206,1.982093,,
87713081,Verrey,Verrey-Sous-Salmaise,COTE-D'OR,47.438803,4.669897,,
87393009,Versailles-Chantiers,Versailles,YVELINES,48.795404,2.13706,,
87393157,Versailles-Rive-Gauche,Versailles,YVELINES,48.800261,2.129015,,
87296608,Versigny,Versigny,AISNE,49.657306,3.433657,,
87271437,Vert-Galant,Villepinte,SEINE-SAINT-DENIS,48.944322,2.566922,,
87734426,Vertaizon,Vertaizon,PUY-DE-DOME,45.78464,3.288416,,
87481408,Vertou,Vertou,LOIRE-ATLANTIQUE,47.186052,-1.477991,,
87296129,Vervins,Vervins,AISNE,49.830044,3.893395,,
87615138,Verzeille,Leuc,AUDE,43.13049,2.321303,,
87185009,Vesoul,Vesoul,HAUTE-SAONE,47.617367,6.153017,,
87574327,Veuves-Monteaux,Veuzain-Sur-Loire,LOIR-ET-CHER,47.475628,1.123861,,
87763300,Veynes-Dévoluy,Veynes,HAUTES-ALPES,44.531851,5.815846,,
